Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1932,46.4,51.3,44.4,59.7,67.5,77.8,81.1,79.9,72.0,58.6,46.6,40.9,60.5
1933,47.0,41.1,49.2,58.8,71.4,77.8,78.6,76.8,77.0,60.6,49.6,48.2,61.3
1934,42.4,36.3,47.2,59.9,70.0,78.9,82.2,80.3,70.6,63.4,53.1,39.9,60.4
1935,40.5,42.9,57.2,57.9,67.2,72.9,80.1,80.0,71.3,62.2,49.3,34.0,59.6
1936,33.0,35.7,53.8,56.1,71.3,79.8,81.2,81.9,76.0,61.0,46.0,43.8,60.0
1937,47.0,40.2,45.8,59.1,68.6,78.0,78.2,80.9,70.1,58.0,46.1,39.4,59.3
1938,38.9,49.7,57.1,61.6,68.6,73.7,79.2,80.4,71.8,63.3,50.0,41.6,61.3
1939,44.8,44.2,53.1,57.1,67.8,77.2,79.8,77.8,77.3,64.6,47.1,43.6,61.2
1940,24.8,39.7,47.4,57.7,64.7,75.9,77.5,79.1,71.0,63.9,48.3,46.0,58.0
1941,40.4,36.6,44.3,64.0,71.2,77.7,80.6,79.7,76.2,67.8,47.8,44.6,60.9
1942,35.1,37.1,50.5,61.3,68.4,77.9,81.3,77.0,70.1,61.4,52.8,39.5,59.4
1943,40.6,43.2,45.4,57.9,70.7,81.0,81.8,82.2,68.8,58.8,46.9,38.6,59.7
1944,40.2,46.6,48.8,57.9,72.2,80.8,80.0,78.7,72.3,59.7,48.7,36.1,60.2
1945,36.0,41.8,59.1,61.3,64.3,74.6,77.8,78.5,75.3,58.7,50.1,34.3,59.3
1946,39.4,43.9,58.7,62.7,65.8,76.5,79.5,74.2,71.5,62.1,54.3,45.7,61.2
1947,42.9,32.3,41.3,61.1,64.9,75.8,75.2,82.4,73.5,67.9,47.2,41.4,58.8
1948,29.4,42.0,52.8,63.7,67.7,78.7,80.8,78.4,71.9,57.9,50.8,43.8,59.8
1949,46.5,45.0,49.5,56.9,69.7,76.7,81.2,77.1,68.2,64.2,48.1,43.4,60.5
1950,48.7,44.0,47.0,55.1,70.9,75.9,76.1,73.7,69.5,64.9,42.5,34.3,58.6
1951,40.2,41.7,49.3,55.6,67.8,76.3,79.6,80.4,71.5,62.0,42.7,43.8,59.2
1952,44.3,45.3,48.4,57.7,69.4,84.7,83.0,80.7,70.2,52.8,48.4,42.2,60.6
1953,45.2,43.9,52.9,56.4,71.5,81.0,79.7,79.0,72.7,63.3,48.1,39.1,61.1
1954,40.1,47.3,48.4,65.3,62.9,78.1,84.0,82.3,76.7,61.4,48.2,40.0,61.2
1955,37.9,41.6,50.7,64.1,71.2,71.4,82.4,80.8,76.4,59.9,46.1,39.5,60.2
1956,35.8,46.9,49.5,57.7,70.2,76.1,81.3,79.8,71.4,64.2,47.7,50.2,60.9
1957,37.5,47.4,48.3,63.1,69.6,77.3,79.0,77.5,72.5,56.6,48.5,44.8,60.2
1958,35.4,30.9,44.0,58.4,68.2,75.0,80.0,77.6,71.8,59.6,51.7,36.1,57.4
1959,37.0,42.1,47.8,59.7,71.2,74.9,79.1,79.8,73.9,61.8,45.1,43.0,59.6
1960,39.9,35.6,36.2,61.0,65.7,74.9,78.3,79.5,73.6,61.6,47.9,34.7,57.4
1961,33.2,46.9,52.2,54.5,63.6,72.4,77.4,76.4,73.5,59.8,49.6,41.0,58.4
1962,35.2,46.1,45.3,56.0,75.2,75.0,79.0,79.6,69.3,62.8,47.9,35.0,58.9
1963,30.8,34.2,53.7,61.6,67.2,75.9,77.5,76.8,70.0,65.5,49.3,30.5,57.8
1964,38.9,37.2,48.9,62.5,69.7,77.6,78.7,77.2,71.3,56.7,51.7,42.6,59.4
1965,39.9,39.8,41.8,60.9,71.6,75.1,78.6,79.0,74.1,59.3,51.9,44.8,59.7
1966,32.3,41.3,50.4,58.7,65.3,75.1,82.2,76.5,69.5,57.0,50.7,40.1,58.3
1967,42.3,37.5,57.0,63.9,66.2,76.3,75.7,72.5,66.8,59.3,44.3,42.5,58.7
1968,34.0,32.3,47.8,58.7,66.2,74.8,77.8,79.5,69.9,59.5,48.7,38.1,57.3
1969,37.2,39.8,42.5,60.9,68.9,77.2,82.7,78.1,70.7,60.6,46.4,37.3,58.5
1970,32.3,38.4,46.8,61.3,68.3,73.6,77.2,79.2,76.9,61.0,47.4,43.2,58.8
1971,35.6,38.6,44.6,57.9,63.2,77.5,76.8,76.4,74.4,66.7,49.9,49.2,59.2
1972,41.7,41.8,50.2,60.5,67.4,73.0,77.2,77.2,75.7,60.1,47.2,42.8,59.6
1973,37.9,39.7,56.7,56.4,64.1,76.0,78.7,78.1,76.2,66.2,54.6,40.5,60.4
1974,45.4,41.7,54.9,58.6,70.0,71.4,78.0,77.6,67.5,59.4,50.0,42.6,59.8
1975,43.4,44.6,47.3,58.5,70.4,76.0,78.4,79.0,67.9,62.4,52.1,42.8,60.2
